종목코드,종목명,종가,대비,등락률,상장시가총액
"105330","케이엔더블유","4660","0","0.00","74840.0"
"105740","디케이락","8030","-100","-1.23","81653.0"
"105760","포스뱅크","6940","-60","-0.86","67012.0"
"106080","케이이엠텍","2140","-80","-3.60","53790.0"
"106240","파인테크닉스","1035","21","2.07","17594.0"
"107600","새빗켐","15890","160","1.02","89462.0"
"109080","옵티시스","9240","290","3.24","52077.0"
"109670","씨싸이트","6630","-30","-0.45","38697.0"
"109820","진매트릭스","2715","-20","-0.73","55369.0"
"109860","동일금속","8320","80","0.97","75712.0"
"110020","전진바이오팜","3700","-135","-3.52","33517.0"
"111710","남화산업","4840","-20","-0.41","99646.0"
"113810","디젠스","1038","23","2.27","33868.0"
"114450","그린생명과학","2780","-75","-2.63","55600.0"
"114630","폴라리스우노","536","2","0.37","47140.0"
